movieId,tt,title,year,txt_filename,imdb_url
4,tt0114885,Waiting to Exhale,1995,Waiting_to_Exhale_1995.txt,https://www.imdb.com/title/tt0114885/
3,tt0113228,Grumpier Old Men,1995,Grumpier_Old_Men_1995.txt,https://www.imdb.com/title/tt0113228/
8,tt0112302,Tom and Huck,1995,Tom_and_Huck_1995.txt,https://www.imdb.com/title/tt0112302/
2,tt0113497,Jumanji,1995,Jumanji_1995.txt,https://www.imdb.com/title/tt0113497/
7,tt0114319,Sabrina,1995,Sabrina_1995.txt,https://www.imdb.com/title/tt0114319/
6,tt0113277,Heat,1995,Heat_1995.txt,https://www.imdb.com/title/tt0113277/
1,tt0114709,Toy Story,1995,Toy_Story_1995.txt,https://www.imdb.com/title/tt0114709/
5,tt0113041,Father of the Bride Part II,1995,Father_of_the_Bride_Part_II_1995.txt,https://www.imdb.com/title/tt0113041/
9,tt0114576,Sudden Death,1995,Sudden_Death_1995.txt,https://www.imdb.com/title/tt0114576/
10,tt0113189,GoldenEye,1995,GoldenEye_1995.txt,https://www.imdb.com/title/tt0113189/
12,tt0112896,Dracula: Dead and Loving It,1995,Dracula_Dead_and_Loving_It_1995.txt,https://www.imdb.com/title/tt0112896/
13,tt0112453,Balto,1995,Balto_1995.txt,https://www.imdb.com/title/tt0112453/
11,tt0112346,The American President,1995,The_American_President_1995.txt,https://www.imdb.com/title/tt0112346/
16,tt0112641,Casino,1995,Casino_1995.txt,https://www.imdb.com/title/tt0112641/
15,tt0112760,Cutthroat Island,1995,Cutthroat_Island_1995.txt,https://www.imdb.com/title/tt0112760/
14,tt0113987,Nixon,1995,Nixon_1995.txt,https://www.imdb.com/title/tt0113987/
17,tt0114388,Sense and Sensibility,1995,Sense_and_Sensibility_1995.txt,https://www.imdb.com/title/tt0114388/
19,tt0112281,Ace Ventura: When Nature Calls,1995,Ace_Ventura_When_Nature_Calls_1995.txt,https://www.imdb.com/title/tt0112281/
18,tt0113101,Four Rooms,1995,Four_Rooms_1995.txt,https://www.imdb.com/title/tt0113101/
20,tt0113845,Money Train,1995,Money_Train_1995.txt,https://www.imdb.com/title/tt0113845/
21,tt0113161,Get Shorty,1995,Get_Shorty_1995.txt,https://www.imdb.com/title/tt0113161/
24,tt0114168,Powder,1995,Powder_1995.txt,https://www.imdb.com/title/tt0114168/
25,tt0113627,Leaving Las Vegas,1995,Leaving_Las_Vegas_1995.txt,https://www.imdb.com/title/tt0113627/
22,tt0112722,Copycat,1995,Copycat_1995.txt,https://www.imdb.com/title/tt0112722/
23,tt0112401,Assassins,1995,Assassins_1995.txt,https://www.imdb.com/title/tt0112401/
26,tt0114057,Othello,1995,Othello_1995.txt,https://www.imdb.com/title/tt0114057/
27,tt0114011,Now and Then,1995,Now_and_Then_1995.txt,https://www.imdb.com/title/tt0114011/
30,tt0115012,Shanghai Triad,1995,Shanghai_Triad_1995.txt,https://www.imdb.com/title/tt0115012/
28,tt0114117,Persuasion (TV Movie 1995),1995,Persuasion_(TV_Movie_1995)_1995.txt,https://www.imdb.com/title/tt0114117/
34,tt0112431,Babe,1995,Babe_1995.txt,https://www.imdb.com/title/tt0112431/
29,tt0112682,The City of Lost Children,1995,The_City_of_Lost_Children_1995.txt,https://www.imdb.com/title/tt0112682/
31,tt0112792,Dangerous Minds,1995,Dangerous_Minds_1995.txt,https://www.imdb.com/title/tt0112792/
32,tt0114746,12 Monkeys,1995,12_Monkeys_1995.txt,https://www.imdb.com/title/tt0114746/
36,tt0112818,Dead Man Walking,1995,Dead_Man_Walking_1995.txt,https://www.imdb.com/title/tt0112818/
40,tt0112749,"Cry, the Beloved Country",1995,"Cry,_the_Beloved_Country_1995.txt",https://www.imdb.com/title/tt0112749/
38,tt0113442,It Takes Two,1995,It_Takes_Two_1995.txt,https://www.imdb.com/title/tt0113442/
39,tt0112697,Clueless,1995,Clueless_1995.txt,https://www.imdb.com/title/tt0112697/
42,tt0112819,Dead Presidents,1995,Dead_Presidents_1995.txt,https://www.imdb.com/title/tt0112819/
41,tt0114279,Richard III,1995,Richard_III_1995.txt,https://www.imdb.com/title/tt0114279/
45,tt0114681,To Die For,1995,To_Die_For_1995.txt,https://www.imdb.com/title/tt0114681/
44,tt0113855,Mortal Kombat,1995,Mortal_Kombat_1995.txt,https://www.imdb.com/title/tt0113855/
43,tt0114272,Restoration,1995,Restoration_1995.txt,https://www.imdb.com/title/tt0114272/
48,tt0114148,Pocahontas,1995,Pocahontas_1995.txt,https://www.imdb.com/title/tt0114148/
46,tt0113347,How to Make an American Quilt,1995,How_to_Make_an_American_Quilt_1995.txt,https://www.imdb.com/title/tt0113347/
47,tt0114369,Se7en,1995,Se7en_1995.txt,https://www.imdb.com/title/tt0114369/
49,tt0114916,When Night Is Falling,1995,When_Night_Is_Falling_1995.txt,https://www.imdb.com/title/tt0114916/
50,tt0114814,The Usual Suspects,1995,The_Usual_Suspects_1995.txt,https://www.imdb.com/title/tt0114814/
53,tt0110299,Lamerica,1994,Lamerica_1994.txt,https://www.imdb.com/title/tt0110299/
54,tt0112499,The Big Green,1995,The_Big_Green_1995.txt,https://www.imdb.com/title/tt0112499/
